idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
766109,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,16526803,BRSAL,BRARE,2501,"Granel Sólido",0,1452,Desembarcados,"",0
795636,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,17,0,5,0,37,54,17383882,BRSAL,BRARE,2501,"Granel Sólido",0,1386,Desembarcados,"",0
790788,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,6,0,6,6,17208824,BRSAL,BRARE,2501,"Granel Sólido",0,1416,Desembarcados,"",0
768126,BRARE,T1,"Areia Branca",2016,jun,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,61,0,5,0,6,67,16691185,BRSAL,BRARE,2501,"Granel Sólido",0,1496,Desembarcados,"",0
766747,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,8,0,4,0,4,12,16533787,BRSAL,BRARE,2501,"Granel Sólido",0,1287,Desembarcados,"",0
805727,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,10,0,9,0,9,20,17710035,BRSAL,BRARE,2501,"Granel Sólido",0,1282,Desembarcados,"",0
802684,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,17,0,6,0,6,23,17629656,BRSAL,BRARE,2501,"Granel Sólido",0,1321,Desembarcados,"",0
735807,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,30,0,3,0,3,34,15863368,BRSAL,BRARE,2501,"Granel Sólido",0,1347,Desembarcados,"",0
802181,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,14,0,4,0,4,18,17575448,BRSAL,BRARE,2501,"Granel Sólido",0,1195,Desembarcados,"",0
771147,BRARE,T1,"Areia Branca",2016,jun,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,13,0,4,0,4,18,16682292,BRSAL,BRARE,2501,"Granel Sólido",0,1394,Desembarcados,"",0
778125,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,3,4,0,7,9,16843709,BRSAL,BRARE,2501,"Granel Sólido",0,1482,Desembarcados,"",0
777746,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,6,0,6,6,16841245,BRSAL,BRARE,2501,"Granel Sólido",0,1665,Desembarcados,"",0
779758,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,47,1,46,0,48,96,16899000,BRSAL,BRARE,2501,"Granel Sólido",0,1541,Desembarcados,"",0
784602,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,4,0,3,0,4,8,17027491,BRSAL,BRARE,2501,"Granel Sólido",0,1484,Desembarcados,"",0
801791,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,9,0,29,0,30,39,17565604,BRSAL,BRARE,2501,"Granel Sólido",0,1281,Desembarcados,"",0
